model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Lenovo IdeaPad 3 15ITL6 82H803D1IV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1214,1575,1394.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1186654,מ 2023,Integrated Intel UHD Graphics,Intel Core i3,IdeaPad 3 15ITL6,"WiFi 6, 802.11ax"
  Lenovo IdeaPad Flex 5 14IAU7 82R7009FIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,3049,3707,3378.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1166580,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad Flex 5,802.11ax
  Lenovo IdeaPad 3 15IAU7 82RK00CQIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1819,2246,2032.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171580,2022,Integrated Intel UHD Graphics,Intel Core i3,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo V14 G2 ITL 82KA001JIV ,Lenovo,לא רלוונטי,ללא,"1.6 ק""ג",8 GB,3Ghz,1115G4,דור 11,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1175,1699,1437.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1138546,2022,Integrated Intel UHD Graphics,Intel Core i3,V14 G2,802.11ac
  Lenovo V14 G3 IAP 82TS003PIV ,Lenovo,לא רלוונטי,ללא,"1.43 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1889,2445,2167.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1170366,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,V14 G3 IAP,802.11ac
  Lenovo ThinkPad E14 Gen 4 21E30082IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,2780,3195,2987.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165458,2022,NVIDIA GeForce MX550,Intel Core i5,ThinkPad E14,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15IAU7 82RK00D0IV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.63 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2285,2641,2463.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1170501,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15ITL6 82H8039FIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",8 GB,2.5Ghz,1155G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,כולל,לא זמין,לא כולל,1777,2161,1969.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183078,מ 2023,Intel Iris Xe Graphics,Intel Core i5,IdeaPad,802.11ax
  Lenovo IdeaPad Flex 5 14IAU7 82R7009YIV ,Lenovo,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,14 אינטש,1920x1200,IPS,60 Hz,כולל,כולל,קורא טביעות אצבע,לא כולל,4115,4990,4552.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165588,2022,Integrated Intel Iris Xe Graphics,Intel Core i7,IdeaPad Flex 5,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 15ITL6 82H8039GIV ,Lenovo,לא רלוונטי,ללא,"1.65 ק""ג",16 GB,2.5Ghz,1155G7,דור 11,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,כולל,לא זמין,לא כולל,2165,2295,2230.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1183080,מ 2023,Intel Iris Xe Graphics,Intel Core i5,IdeaPad,802.11ax
  Lenovo IdeaPad 3 15IAU7 82RK00D5IV ,Lenovo,לא רלוונטי,ללא,"1.63 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2299,2802,2550.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171595,2022,Integrated Intel Iris Xe Graphics,Intel Core i5,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo ThinkPad E15 Gen 4 21E6006SIV ,Lenovo,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,מצלמת IR,לא כולל,2757,3086,2921.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1165465,2022,Integrated Intel UHD Graphics,Intel Core i5,ThinkPad E15,"WiFi 6, 802.11ax"
  Lenovo IdeaPad 3 17IAU7 82RL004LIV ,Lenovo,לא רלוונטי,Windows 11 Home,"2.04 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,256 GB,SSD,לא כולל,17.3 אינטש,1600x900,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2235,2470,2352.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1171582,2022,Integrated Intel UHD Graphics,Intel Core i3,IdeaPad 3,"WiFi 6, 802.11ax"
  Lenovo ThinkPad E14 Gen 4 21E30088IV ,Lenovo,לא רלוונטי,ללא,"1.64 ק""ג",16 GB,4.7Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,כולל,"מצלמת IR, קורא טביעות אצבע",לא כולל,3849,4220,4034.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1161884,2022,Integrated Intel Iris Xe Graphics,Intel Core i7,ThinkPad E14,"WiFi 6, 802.11ax"
model,manufacturer,gaming_adapt,operating_system,weight,RAM_memory_volume,CPU_speed,processor_model,processor_generation,memory_type,storage_capacity,hard_drive_type,optical_drive,screen_size,screen_resolution,screen_type,display_refresh_rate,touch_screen,webcam,security_measures,cellular_modem,low_price,high_price,average_price,Data_acquisition_date,comp_model_url,computer_entry_date,graphics_card,processor_type,series,wireless_network
  Asus Vivobook 15 X1504ZANJ203 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1910,2387,2148.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192671,מ 2023,Intel Iris Xe Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Vivobook 15 X1504ZANJ204 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2174,2926,2550.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192672,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus TUF Gaming F15 FX507ZV4HQ043 ,Asus,גיימינג,ללא,"2.2 ק""ג",32 GB,3.5Ghz,12700H,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,2560x1440,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,5399,6490,5944.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188739,מ 2023,NVIDIA GeForce RTX 4060,Intel Core i7,TUF Gaming F15,"WiFi 6, 802.11ax"
  Asus TUF Gaming F15 FX507ZC4HN105 ,Asus,גיימינג,ללא,"2.2 ק""ג",16 GB,3.5Ghz,12700H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,3789,4490,4139.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188735,מ 2023,NVIDIA GeForce RTX 3050 Ti,Intel Core i7,TUF Gaming F15,"WiFi 6, 802.11ax"
  Asus Vivobook 15 X1504ZANJ027 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2590,2144.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192666,מ 2023,Intel UHD Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus TUF Dash F15 FX517ZCHN111 ,Asus,גיימינג,ללא,"2.0 ק""ג",16 GB,3.5Ghz,12650H,דור 12,DDR5,1000 GB,SSD,לא כולל,15.6 אינטש,לא זמין,LCD,לא זמין,ללא,1 מגה פיקסל,לא כולל,לא כולל,3650,5190,4420.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1176395,2022,Intel Iris Xe Graphics,Intel Core i7,TUF Dash F15,802.11ax
  Asus W202NAGJ0062R ,Asus,לא רלוונטי,Windows 10 PRO,"1.2 ק""ג",4 GB,1.1Ghz,N3350,דור 3,DDR3,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,כולל,לא זמין,לא כולל,809,1250,1029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1110088,2021,לא זמין,Intel Celeron,לא רלוונטי,802.11ac
  Asus Vivobook 15 X1504ZANJ205 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.5Ghz,1255U,דור 12,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2375,2825,2600.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192673,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus VivoBook 15 X1504ZANJ031 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",8 GB,3.3Ghz,1235U,דור 12,DDR4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1759,2138,1948.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192665,מ 2023,Intel UHD Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Vivobook 15 X1504ZANJ197W ,Asus,לא רלוונטי,Windows 11 Home,"1.7 ק""ג",16 GB,3.3Ghz,1235U,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,2567,2979,2773.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192675,מ 2023,Intel Iris Xe Graphics,Intel Core i5,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Zenbook 14 OLED UX3402VAKM063W ,Asus,לא רלוונטי,Windows 11 Home,"1.39 ק""ג",16 GB,3.7Ghz,1360P,דור 13,DDR5,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,90 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,5689,6239,5964.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1184775,מ 2023,Intel Iris Xe Graphics,Intel Core i7,ZenBook 14,"WiFi 6E, 802.11ax"
  Asus TUF Gaming F15 FX507ZC4HN073W ,Asus,גיימינג,Windows 11 Home,"2.2 ק""ג",16 GB,3.3Ghz,12500H,דור 12,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,לא זמין,ללא,לא זמין,לא כולל,לא כולל,3794,4699,4246.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188762,מ 2023,NVIDIA GeForce RTX 3050,Intel Core i5,TUF Gaming F15,"WiFi 6, 802.11ax"
  Asus VivoBook 17 X1704VAAU054 ,Asus,לא רלוונטי,ללא,"2.10 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,1000 GB,SSD,לא כולל,17.3 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,3421,4080,3750.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192679,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 17,WiFi 6E
  Asus X1500EAEJ2658 ,Asus,לא רלוונטי,ללא,"1.8 ק""ג",16 GB,2.4Ghz,1135G7,דור 11,DDR4,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,כולל,לא כולל,לא כולל,1980,2565,2272.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1179969,מ 2023,Intel Iris Xe Graphics,Intel Core i5,לא רלוונטי,802.11ac
  Asus Zenbook 14 OLED UX3402VAKP147W ,Asus,לא רלוונטי,Windows 11 Home,"1.35 ק""ג",16 GB,3.4Ghz,1340P,דור 13,DDR5,512 GB,SSD,לא כולל,14 אינטש,2560x1600,LCD,60 Hz,ללא,כולל,קורא טביעות אצבע,לא כולל,4219,4990,4604.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1188142,מ 2023,Intel Iris Xe Graphics,Intel Core i5,Zenbook 14 OLED,"WiFi 6E, 802.11ax"
  Asus Vivobook S 14 Flip OLED TP3402VAKN058W ,Asus,לא רלוונטי,Windows 11 Home,"1.5 ק""ג",16 GB,3.7Ghz,13700H,דור 13,לא זמין,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,כולל,לא כולל,לא כולל,4627,5432,5029.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1193764,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Vivobook S 14 Flip,"WiFi 6, 802.11ax"
  Asus VivoBook 14 X1404ZANK114 ,Asus,לא רלוונטי,ללא,"1.4 ק""ג",8 GB,3.3Ghz,1215U,דור 12,DDR4,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא כולל,לא כולל,1699,2065,1882.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1186818,מ 2023,Intel UHD Graphics,Intel Core i3,VivoBook 14,"WiFi 6E, 802.11ax"
  Asus VivoBook 15 X1504VABQ149 ,Asus,לא רלוונטי,ללא,"1.7 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR4,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,1 מגה פיקסל,לא רלוונטי,לא כולל,2987,3490,3238.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1191538,מ 2023,Intel Iris Xe Graphics,Intel Core i7,VivoBook 15,"WiFi 6E, 802.11ax"
  Asus Zenbook 14X OLED UM5401QAL7192W ,Asus,לא רלוונטי,Windows 11 Home,"1.4 ק""ג",16 GB,4.2Ghz,5600H,דור 4,DDR4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,1 מגה פיקסל,קורא טביעות אצבע,לא כולל,3579,5137,4358.0,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1162877,2022,AMD Radeon  Graphics,AMD Ryzen 5,ZenBook 14X,"WiFi 6, 802.11ax"
  Asus Zenbook S13 OLED UX5304VANQ003 ,Asus,לא רלוונטי,ללא,"1 ק""ג",16 GB,3.7Ghz,1355U,דור 13,DDR5,1000 GB,SSD,לא כולל,13.3 אינטש,2880X1800,OLED,60 Hz,ללא,כולל,מצלמת IR,לא כולל,5295,6388,5841.5,18.06.2023,https://www.zap.co.il/compmodels.aspx?modelid=1192565,מ 2023,Intel Iris Xe Graphics,Intel Core i7,Zenbook S13,"WiFi 6E, 802.11ax"
